iter	RMSE
0	0.5968605692
1	0.5756520621
2	0.5556087892
3	0.537066248
4	0.5206263965
5	0.5046175215
6	0.490161412
7	0.4769442701
8	0.4647694242
9	0.4536247139
10	0.4436042138
11	0.4340757558
12	0.425565116
13	0.4177060304
14	0.4107330604
15	0.398483881
16	0.3871272077
17	0.3767310768
18	0.3673919655
19	0.35857913
20	0.3507664138
21	0.3434311504
22	0.3366148498
23	0.3302499802
24	0.3245381502
25	0.3192673813
26	0.3146378626
27	0.3102919994
28	0.3062317216
29	0.3025767795
30	0.2992645634
31	0.2960919599
32	0.2933877962
33	0.2907994933
34	0.2883727838
35	0.2858677457
36	0.2838129841
37	0.2816248608
38	0.279597535
39	0.2778654092
40	0.2762997954
41	0.2748164937
42	0.2736083624
43	0.2721486987
44	0.2707969492
45	0.2697337698
46	0.2685164878
47	0.2675909416
48	0.2667563033
49	0.2659706789
50	0.2650777266
51	0.2643625081
52	0.2636157705
53	0.263005961
54	0.2624980543
55	0.2618877838
56	0.2612840602
57	0.2607785896
58	0.2602657071
59	0.2596125355
60	0.2591900739
61	0.2586623047
62	0.2582121681
63	0.2577213781
64	0.2574048466
65	0.2563343
66	0.2555616734
67	0.2546660163
68	0.2540921252
69	0.2535222328
70	0.2527804795
71	0.2524349622
72	0.2516734024
73	0.2509656171
74	0.2505077616
75	0.2500644504
76	0.2495362526
77	0.2490461289
78	0.2485577622
79	0.2477922514
80	0.2471400546
81	0.246692919
82	0.2461897569
83	0.2458290791
84	0.2454722854
85	0.2448668034
86	0.244599149
87	0.2443371019
88	0.2440345345
89	0.2438285122
90	0.2433963318
91	0.2431861186
92	0.2428774468
93	0.2425242963
94	0.2424089863
95	0.2421828065
96	0.2419065917
97	0.241584912
98	0.2413518353
99	0.2412102273
100	0.2409097573
101	0.2407502211
102	0.2404256518
103	0.2402090285
104	0.2400301678
105	0.2398855947
106	0.2396144142
107	0.2394125997
108	0.2392454598
109	0.2388875713
110	0.2388058294
111	0.2383062611
112	0.238016326
113	0.237821271
114	0.2374620773
115	0.2372948855
116	0.2369495138
117	0.2367681423
118	0.2365843519
119	0.2364628437
120	0.2362646908
121	0.2356506551
122	0.2355121813
123	0.2354312199
124	0.2352424118
125	0.2350216752
126	0.2348421129
127	0.2347135931
128	0.2345844071
129	0.2344811889
130	0.2342089886
131	0.2340268851
132	0.2337549855
133	0.2335498978
134	0.2334477511
135	0.2332279213
136	0.2330856782
137	0.2327964061
138	0.2326989841
139	0.2326227732
140	0.2325110419
141	0.2323562674
142	0.2321638718
143	0.2320266444
144	0.2319741126
145	0.2317519402
146	0.2315905826
147	0.2312165374
148	0.2310529504
149	0.230832997
150	0.2307628556
151	0.2305842095
152	0.2305151264
153	0.2304571438
154	0.2304190886
155	0.2302692463
156	0.2299897754
157	0.2299397266
158	0.229863209
159	0.2296862575
160	0.2295367226
161	0.2292164808
162	0.2289072771
163	0.2285877423
164	0.2283856293
165	0.2281359899
166	0.2280112781
167	0.2277410314
168	0.2275097225
169	0.2273995881
170	0.2272450002
171	0.2271342321
172	0.2270075958
173	0.2268574687
174	0.2267236897
175	0.2265605488
176	0.2264401467
177	0.2263123025
178	0.226140205
179	0.2260101591
180	0.2258955281
181	0.2258102809
182	0.2256875869
183	0.2254988634
184	0.2254320587
185	0.2252435256
186	0.225171638
187	0.2250901272
188	0.2249172753
189	0.2248262543
190	0.2247257262
191	0.2246598264
192	0.2244969419
193	0.224446797
194	0.2242811457
195	0.2241069392
196	0.2240616048
