iter	Passed	Remaining
0	14	2801
1	27	2635
2	39	2536
3	56	2740
4	66	2559
5	79	2537
6	90	2469
7	103	2436
8	114	2398
9	125	2351
10	136	2311
11	148	2289
12	159	2251
13	171	2237
14	182	2210
15	195	2213
16	207	2201
17	220	2192
18	244	2290
19	272	2410
20	291	2444
21	311	2474
22	322	2441
23	335	2419
24	347	2387
25	358	2356
26	372	2346
27	388	2342
28	399	2315
29	411	2292
30	422	2262
31	434	2242
32	452	2247
33	475	2281
34	489	2264
35	501	2242
36	525	2272
37	558	2335
38	581	2356
39	593	2328
40	608	2314
41	638	2356
42	669	2398
43	714	2485
44	748	2529
45	767	2517
46	802	2560
47	845	2623
48	889	2686
49	944	2775
50	996	2853
51	1027	2866
52	1048	2849
53	1066	2824
54	1099	2838
55	1127	2838
56	1170	2874
57	1194	2863
58	1210	2831
59	1223	2793
60	1232	2748
61	1243	2707
62	1253	2666
63	1266	2631
64	1285	2610
65	1297	2575
66	1309	2541
67	1323	2509
68	1334	2475
69	1345	2441
70	1356	2406
71	1365	2370
72	1377	2340
73	1389	2309
74	1401	2279
75	1412	2248
76	1423	2217
77	1433	2187
78	1445	2159
79	1457	2132
80	1469	2105
81	1483	2080
82	1494	2052
83	1504	2024
84	1516	1997
85	1528	1972
86	1539	1946
87	1550	1919
88	1564	1898
89	1574	1872
90	1588	1850
91	1599	1825
92	1609	1800
93	1622	1777
94	1632	1752
95	1652	1739
96	1663	1715
97	1677	1694
98	1688	1671
99	1700	1649
100	1711	1627
101	1723	1604
102	1733	1582
103	1744	1560
104	1754	1537
105	1764	1514
106	1774	1492
107	1785	1471
108	1795	1449
109	1852	1465
110	1903	1474
111	1965	1491
112	2006	1491
113	2057	1497
114	2093	1492
115	2113	1475
116	2157	1475
117	2170	1452
118	2180	1429
119	2190	1405
120	2201	1382
121	2213	1360
122	2224	1338
123	2233	1315
124	2246	1293
125	2265	1276
126	2276	1254
127	2287	1232
128	2297	1211
129	2308	1189
130	2321	1169
131	2333	1149
132	2344	1128
133	2355	1107
134	2367	1087
135	2377	1066
136	2387	1045
137	2398	1025
138	2419	1009
139	2446	996
140	2473	982
141	2506	970
142	2533	956
143	2560	942
144	2571	922
145	2584	902
146	2594	882
147	2605	862
148	2618	843
149	2629	823
150	2640	804
151	2652	785
152	2663	765
153	2673	746
154	2684	727
155	2694	708
156	2705	689
157	2716	670
158	2730	652
159	2761	638
160	2775	620
161	2787	602
162	2799	583
163	2811	565
164	2821	547
165	2832	529
166	2842	510
167	2852	492
168	2863	474
169	2875	456
170	2887	438
171	2898	421
172	2909	403
173	2922	386
174	2933	368
175	2943	351
176	2954	333
177	2965	316
178	2977	299
179	2989	282
180	2999	265
181	3010	248
182	3022	231
183	3035	214
184	3047	197
185	3058	180
186	3069	164
187	3080	147
188	3095	131
189	3106	114
190	3119	97
191	3129	81
192	3140	65
193	3150	48
194	3161	32
195	3174	16
196	3184	0
