price,year,mileage,make,model,body,age,mileage_per_year,high_mileage
7500,2020,84430,ford,mustang,sedan,5,16886.0,0
15000,2019,0,replica/kit makes,jaguar beck lister,convertible,6,0.0,0
8750,2020,55000,jaguar,xjs,convertible,5,11000.0,0
11600,2019,97200,ford,mustang,coupe,6,16200.0,0
44000,2019,40703,porsche,911,coupe,6,6783.833333333333,0
950,2020,71300,mercury,montclair,sedan,5,14260.0,0
950,2020,71300,mercury,montclair,sedan,5,14260.0,0
70000,2019,6500,land rover,defender,,6,1083.3333333333333,0
1330,2019,167000,honda,civic,coupe,6,27833.333333333332,1
25200,2019,15000,pontiac,gto,,6,2500.0,0
20000,2020,51674,jeep,wrangler,suv,5,10334.8,0
14100,2019,109500,jeep,wrangler,suv,6,18250.0,0
6000,2020,101501,toyota,prius,4 door/hatchback,5,20300.2,0
4000,2020,118513,toyota,celica,hatchback,5,23702.6,0
3820,2019,377000,jeep,wrangler,,6,62833.333333333336,1
3330,2020,47692,buick,lesabre,sedan,5,9538.4,0
1480,2020,166000,nissan,altima,sedan,5,33200.0,1
18550,2019,6714,chevrolet,camaro,coupe,6,1119.0,0
4300,2019,140309,ford,f-100,standard cab pickup,6,23384.833333333332,0
4750,2019,151361,ford,f-250,standard cab pickup,6,25226.833333333332,1
3050,2020,95600,nissan,maxima,sedan,5,19120.0,0
4050,2020,100427,nissan,altima,sedan,5,20085.4,0
5390,2019,134000,chrysler,300 series,,6,22333.333333333332,0
4050,2020,82301,toyota,corolla,sedan,5,16460.2,0
5000,2020,92605,toyota,tacoma,standard cab pickup,5,18521.0,0
3550,2020,87201,subaru,impreza,sedan,5,17440.2,0
3500,2019,144868,honda,cr-v,suv,6,24144.666666666668,0
2550,2019,174102,toyota,yaris,,6,29017.0,1
1730,2020,93100,chevrolet,aveo,,5,18620.0,0
3020,2020,94700,jeep,liberty,,5,18940.0,0
17980,2019,64020,oldsmobile,442,2 door hard top,6,10670.0,0
3400,2019,182000,jeep,grand cherokee,suv,6,30333.333333333332,1
4600,2019,180000,mercedes-benz,s-class,sedan,6,30000.0,1
2500,2020,125000,porsche,944,coupe,5,25000.0,0
18000,2019,22000,studebaker,daytona,wagon,6,3666.6666666666665,0
10600,2020,12057,studebaker,daytona,wagon,5,2411.4,0
8800,2020,13127,chevrolet,corvette,coupe,5,2625.4,0
15500,2020,40500,toyota,sienna,,5,8100.0,0
2000,2020,167435,chevrolet,astro,standard cargo van,5,33487.0,1
560,2019,95918,ford,thunderbird,,6,15986.333333333334,0
24600,2019,50,chevrolet,nova,coupe,6,8.333333333333334,0
45400,2019,2357,ford,mustang,coupe,6,392.8333333333333,0
49810,2019,2640,dodge,charger,sedan,6,440.0,0
3500,2020,106433,mazda,mx-5 miata,,5,21286.6,0
20000,2019,106555,ford,bronco,,6,17759.166666666668,0
6100,2020,88600,ford,mustang,convertible,5,17720.0,0
17000,2019,0,dodge,other,,6,0.0,0
3810,2019,80000,chevrolet,bel air/150/210,wagon,6,13333.333333333334,0
5600,2019,143250,cadillac,cts,wagon,6,23875.0,0
6500,2019,89000,cadillac,allante,2-seater convertible,6,14833.333333333334,0
500,2019,40000,buick,riviera,,6,6666.666666666667,0
16450,2019,4327,ford,tudor,sedan,6,721.1666666666666,0
4000,2020,264000,ford,e-450 super duty,,5,52800.0,1
5100,2020,99200,jaguar,xjr,sedan,5,19840.0,0
760,2019,144002,ford,mustang,coupe,6,24000.333333333332,0
13410,2019,51793,ford,mustang,coupe,6,8632.166666666666,0
1000,2019,234110,chevrolet,hhr,ll,6,39018.333333333336,1
5600,2019,85000,mercedes-benz,g-class,wagon,6,14166.666666666666,0
2150,2020,216932,mercedes-benz,300-series,sedan,5,43386.4,1
4940,2019,168544,mercedes-benz,300-series,sedan,6,28090.666666666668,1
8600,2019,70850,mercedes-benz,sl-class,,6,11808.333333333334,0
9600,2020,18100,cadillac,fleetwood,sedan,5,3620.0,0
