year,mileage,age,miles_per_year,make,model,body_type,drive_type,price_actual,price_pred
1997,264000,28,9428.57142857143,Dodge,Ram 1500,Extended Cab Pickup,Rwd,1000.0,1291.9431569022743
2007,165772,18,9209.555555555555,Dodge,Caliber,Suv,Fwd,1000.0,1533.180021111089
2005,190000,20,9500.0,Chevrolet,Colorado,Extended Crew Cab Pickup,Rwd,1000.0,2330.319786118729
2002,105111,23,4570.04347826087,Ford,Mustang,Coupe,Rwd,1000.0,4671.318272174166
2000,190988,25,7639.52,Jeep,Grand Cherokee,Nan,Nan,1000.0,1638.0091244191094
2000,128456,25,5138.24,Volkswagen,Beetle-New,Nan,Fwd,1000.0,1545.3329400580262
2008,128800,17,7576.470588235294,Honda,Civic,Sedan,Fwd,1000.0,3069.423484489198
2019,18200,6,3033.3333333333335,Ford,Fiesta,Sedan,Nan,1000.0,11118.359459680687
1992,175558,33,5319.939393939394,Chevrolet,Ck Pickup 1500,Pickup Truck,Rwd,1000.0,1898.6185129942237
2005,204358,20,10217.9,Chevrolet,Cobalt,Sedan,Rwd,1000.0,888.4756731516082
2005,201141,20,10057.05,Ford,Crown Victoria,Coupe,Rwd,1000.0,1631.2090740964877
2003,222424,22,10110.181818181818,Toyota,Camry,4 Door Sedan,Fwd,1000.0,1420.4526229075323
2006,61168,19,3219.3684210526317,Nissan,Maxima,Sedan,Fwd,1000.0,4018.2049644116796
2004,202325,21,9634.52380952381,Ford,Explorer,Extended Cab Pickup,4Wd,1000.0,1754.1591642097458
1994,57005,31,1838.8709677419354,Lincoln,Mark Series,Coupe,Rwd,1000.0,4877.59752756336
1992,55481,33,1681.2424242424242,Ford,Ranger,Nan,Rwd,1000.0,3041.665678975395
1998,110000,27,4074.074074074074,Jaguar,Xj8,Sedan,Rwd,1000.0,1476.9562381155522
1998,136000,27,5037.037037037037,Ford,Explorer,Nan,Nan,1000.0,1111.3676032665712
2001,235000,24,9791.666666666666,Ford,F-150,Extended Cab Pickup,Rwd,1000.0,1699.3720942108357
2008,159868,17,9404.0,Mitsubishi,Lancer,Sedan,Fwd,1000.0,2508.2420834267664
2007,188948,18,10497.111111111111,Ford,E-Series Van,Standard Passenger Van,Rwd,1000.0,3825.934998416761
2003,160440,22,7292.727272727273,Chevrolet,Malibu,Sedan,Fwd,1000.0,994.1136811011713
2001,136281,24,5678.375,Audi,S8,Sedan,Awd,1000.0,5268.211505189507
1998,198000,27,7333.333333333333,Ford,Mustang,Convertible,Rwd,1000.0,1810.1791345676666
1998,219193,27,8118.259259259259,Dodge,Neon,4Dr Car,4Dr Sdn Competition,1000.0,778.6405601297389
2005,173218,20,8660.9,Chrysler,Pt Cruiser,Wagon,Fwd,1000.0,1243.5918784730827
1999,229742,26,8836.23076923077,Ford,F-150,Pickup Truck,Rwd,1000.0,1200.327829573769
2003,228000,22,10363.636363636364,Dodge,Dakota,Crew Cab Pickup,Nan,1000.0,1881.0317071866039
2000,245704,25,9828.16,Toyota,Camry,Sedan,Fwd,1000.0,1290.8316040712477
2000,275000,25,11000.0,Audi,A6,Sedan,Quattro Awd,1000.0,1214.2802069133168
2001,285698,24,11904.083333333334,Jeep,Grand Cherokee,Suv,Rwd,1000.0,1029.3255384268004
2000,79202,25,3168.08,Land Rover,Discovery,Suv,4Wd,1000.0,4076.028878277195
2003,200000,22,9090.90909090909,Ford,Other Pickups,Nan,Awd,1000.0,3544.3233609766335
2002,235964,23,10259.304347826086,Toyota,Highlander,Suv,Fwd,1000.0,2089.2134874229328
2008,175000,17,10294.117647058823,Ford,F-150,Crew Cab Pickup,4Wd,1000.0,6763.802953121044
2005,179246,20,8962.3,Jeep,Grand Cherokee,Nan,4Wd,1000.0,2382.630430249306
2013,105420,12,8785.0,Kia,Forte,Nan,Fwd,1000.0,2971.3044370080383
1996,263900,29,9100.0,Ford,Explorer,Suv,4Wd,1000.0,1247.7449946848258
2003,286725,22,13032.954545454546,Nissan,Xterra,Suv,4Wd,1000.0,1245.4078157190347
2001,170000,24,7083.333333333333,Honda,Civic,Coupe,Fwd,1000.0,1691.4278940963213
1999,223000,26,8576.923076923076,Bmw,3-Series,Coupe,Rwd,1000.0,1522.007387259281
2009,129638,16,8102.375,Honda,Accord,Sedan,Fwd,1000.0,4432.379007062172
2002,179652,23,7810.95652173913,Honda,Odyssey,Minivan,Fwd,1000.0,1595.7795784212985
2000,110000,25,4400.0,Bmw,7-Series,Sedan,Rwd,1000.0,3653.0290033554325
2001,146749,24,6114.541666666667,Dodge,Ram 1500,Pickup Truck,Rwd,1000.0,1733.1322550927923
1999,293458,26,11286.846153846154,Chevrolet,Tahoe,Suv,Four Wheel Drive,1000.0,1909.6640079766328
2008,139887,17,8228.64705882353,Dodge,Dakota,Crew Cab Pickup,4Wd Crew Cab Laramie,1000.0,4497.472721040511
2003,214770,22,9762.272727272728,Lincoln,Town Car,Sedan,Rwd,1000.0,1869.2926333994262
2007,117321,18,6517.833333333333,Cadillac,Sts,Sedan,Rwd,1000.0,2981.5418185230906
2001,284725,24,11863.541666666666,Chevrolet,Tahoe,Suv,Nan,1000.0,2867.329759952088
