make,model,year,Status,mileage,Dealer,price,age,mileage_per_year,high_mileage
Ford,Bronco,2023,Used,1551.0,Mike Smith Chrysler Dodge Jeep RAM,58900.0,2,775.5,0
Acura,TLX,2021,Used,30384.0,Mike Smith Nissan,34499.0,4,7596.0,0
Volkswagen,Golf,2022,Certified,13895.0,Volkswagen of Beaumont,34000.0,3,4631.666666666667,0
GMC,Yukon,2021,Used,68506.0,BMW of Beaumont,56954.0,4,17126.5,0
Infiniti,QX30,2019,Used,29009.0,Volkswagen of Lake Charles,23589.0,6,4834.833333333333,0
Lexus,ES,2021,Used,22251.0,Big Star Buick GMC,39895.0,4,5562.75,0
GMC,Sierra,2022,Certified,7142.0,Big Star Buick GMC,45995.0,3,2380.6666666666665,0
Toyota,Tundra,2019,Used,33196.0,Big Star Buick GMC,36990.0,6,5532.666666666667,0
Mazda,CX-5,2017,Used,97892.0,Bacliff Auto,16995.0,8,12236.5,0
Honda,Accord,2017,Used,95294.0,Sterling McCall Honda,16141.0,8,11911.75,0
Volkswagen,Atlas,2021,Used,32298.0,Tejas Toyota,33127.0,4,8074.5,0
Toyota,Sequoia,2012,Used,114355.0,Mac Haik Ford Pasadena,22288.0,13,8796.538461538461,0
Lincoln,Continental,2020,Used,39500.0,Mac Haik Ford Pasadena,28788.0,5,7900.0,0
Lexus,IS,2023,Used,1199.0,Sterling McCall Lexus Clear Lake,60995.0,2,599.5,0
Ford,Mustang,2017,Used,30464.0,Big Star Cadillac,30911.0,8,3808.0,0
Lexus,LS,2013,Used,96397.0,Big Star Cadillac,21911.0,12,8033.083333333333,0
Lincoln,Nautilus,2019,Used,49197.0,Big Star Cadillac,23911.0,6,8199.5,0
Ford,Mustang,2022,Used,8373.0,Big Star Cadillac,50911.0,3,2791.0,0
Ford,Mustang,2015,Used,87885.0,Big Star Cadillac,21911.0,10,8788.5,0
Cadillac,CT5,2022,Certified,14441.0,Big Star Cadillac,94911.0,3,4813.666666666667,0
Cadillac,Escalade,2023,Certified,19443.0,Big Star Cadillac,104911.0,2,9721.5,0
Acura,MDX,2023,Certified,4624.0,AutoNation Acura Gulf Freeway,53998.0,2,2312.0,0
Ford,Mustang,2021,Used,50199.0,Big Star Chrysler Jeep Dodge Ram Fiat Clear Lake,23799.0,4,12549.75,0
GMC,Yukon,2021,Used,71001.0,Big Star Chrysler Jeep Dodge Ram Fiat Clear Lake,55990.0,4,17750.25,0
BMW,435 i,2015,Used,101003.0,Big Star Chrysler Jeep Dodge Ram Fiat Clear Lake,17230.0,10,10100.3,0
Acura,ILX,2018,Used,66075.0,Big Star Hyundai,20588.0,7,9439.285714285714,0
Chevrolet,LS,2003,Used,133540.0,Big Star Hyundai,7888.0,22,6070.0,0
Toyota,Tundra,2018,Used,106619.0,Big Star Hyundai,30888.0,7,15231.285714285714,0
Hyundai,Palisade,2022,Certified,25035.0,Big Star Hyundai,44988.0,3,8345.0,0
Ford,Mustang,2022,Used,9185.0,Big Star Hyundai,44988.0,3,3061.6666666666665,0
Ford,Mustang,2023,Used,8640.0,Big Star Hyundai,47988.0,2,4320.0,0
BMW,X7,2022,Used,28111.0,Big Star Hyundai,75888.0,3,9370.333333333334,0
Ford,Mustang,2021,Used,13656.0,Big Star Hyundai,27988.0,4,3414.0,0
Ford,Escape,2022,Used,9358.0,Big Star Hyundai,29588.0,3,3119.3333333333335,0
Hyundai,Sonata,2019,Certified,24729.0,Big Star Hyundai,28988.0,6,4121.5,0
BMW,X7,2019,Used,59513.0,BMW MINI of Clear Lake,45700.0,6,9918.833333333334,0
GMC,Yukon,2023,Used,7577.0,Gay Family Auto,89993.0,2,3788.5,0
Toyota,Land Cruiser,2017,Used,35837.0,Gay Family Auto,66994.0,8,4479.625,0
Lincoln,Navigator,2019,Used,97768.0,Beck & Masten Buick GMC South,39749.0,6,16294.666666666666,0
Toyota,Tundra,2019,Used,119885.0,AutoNation Toyota Gulf Freeway,29998.0,6,19980.833333333332,0
Acura,TLX,2021,Used,50084.0,South Houston Nissan,31991.0,4,12521.0,0
Land Rover,Range Rover,2020,Used,20075.0,BMW of Houston North,76998.0,5,4015.0,0
Audi,RS 5,2021,Used,50226.0,BMW of Houston North,60995.0,4,12556.5,0
Cadillac,Escalade,2019,Used,100506.0,Sterling McCall Chevrolet,39991.0,6,16751.0,0
Lexus,LS,2013,Used,95611.0,Sterling McCall Chevrolet,23235.0,12,7967.583333333333,0
Mercedes,E-Class,2022,Certified,9143.0,Mercedes-Benz of Houston North,61994.0,3,3047.6666666666665,0
Jeep,Grand Cherokee,2023,Used,5219.0,Mercedes-Benz of Houston North,41595.0,2,2609.5,0
Acura,MDX,2022,Used,29143.0,Mercedes-Benz of Houston North,43995.0,3,9714.333333333334,0
Toyota,Highlander,2015,Used,61296.0,Northside Lexus,25322.0,10,6129.6,0
Mercedes,E-Class,2010,Used,140556.0,Northside Lexus,7900.0,15,9370.4,0
Jeep,Wagoneer,2022,Used,24360.0,Northside Lexus,58986.0,3,8120.0,0
Mercedes,GLS 450,2018,Used,28956.0,Northside Lexus,40899.0,7,4136.571428571428,0
Lexus,LS,2021,Used,73628.0,Northside Lexus,49950.0,4,18407.0,0
Porsche,Cayenne,2020,Used,32564.0,Audi North Houston,47944.0,5,6512.8,0
Audi,Q7,2023,Certified,8541.0,Audi North Houston,53984.0,2,4270.5,0
Audi,TT,2020,Certified,29080.0,Audi North Houston,43984.0,5,5816.0,0
Jeep,Wrangler,2017,Used,54215.0,Audi North Houston,29688.0,8,6776.875,0
Lincoln,Navigator,2021,Used,45988.0,Planet Lincoln,73911.0,4,11497.0,0
Ford,F-150,2019,Certified,39190.0,Planet Ford 45,40884.0,6,6531.666666666667,0
Ford,F-250,2017,Used,131467.0,Planet Ford 45,36884.0,8,16433.375,0
Land Rover,Range Rover,2023,Used,20555.0,Land Rover Houston North,149996.0,2,10277.5,0
Land Rover,Range Rover,2019,Used,41856.0,Land Rover Houston North,52996.0,6,6976.0,0
Land Rover,Defender,2021,Used,28989.0,Land Rover Houston North,73996.0,4,7247.25,0
Infiniti,QX80,2020,Certified,71265.0,Sewell INFINITI of North Houston,31999.0,5,14253.0,0
Infiniti,QX60,2020,Certified,40935.0,Sewell INFINITI of North Houston,28999.0,5,8187.0,0
Infiniti,QX80,2022,Certified,8201.0,Sewell INFINITI of North Houston,53498.0,3,2733.6666666666665,0
Infiniti,Essentia,2022,Certified,17375.0,Sewell INFINITI of North Houston,44999.0,3,5791.666666666667,0
Mercedes,GLE,2024,Certified,2963.0,Mercedes-Benz of The Woodlands,92498.0,1,2963.0,0
Porsche,Cayenne,2014,Used,71651.0,AutoNation Chrysler Dodge Jeep Ram Spring,21889.0,11,6513.727272727273,0
Porsche,Panamera,2020,Certified,54498.0,Porsche North Houston,69991.0,5,10899.6,0
GMC,Yukon,2022,Used,15195.0,BMW of The Woodlands,69995.0,3,5065.0,0
Kia,Telluride,2020,Used,69185.0,"Arapahoe KIA - Delivery from Denver, CO (Houston)",37440.0,5,13837.0,0
Kia,Forte,2018,Used,47466.0,"Arapahoe KIA - Delivery from Denver, CO (Houston)",13947.0,7,6780.857142857143,0
MINI,Cooper,2021,Used,25246.0,MINI of The Woodlands,27998.0,4,6311.5,0
Audi,A7,2023,Used,5130.0,MINI of The Woodlands,63498.0,2,2565.0,0
Nissan,Juke,2011,Used,107791.0,Advantage BMW Midtown,8784.0,14,7699.357142857143,0
Cadillac,CT6,2019,Used,63436.0,Gullo Ford of Conroe - The Woodlands,36995.0,6,10572.666666666666,0
Lincoln,Navigator,2021,Used,60121.0,Keating Honda,57399.0,4,15030.25,0
Subaru,WRX,2021,Used,16708.0,Keating Honda,40888.0,4,4177.0,0
Ford,F-150,2022,Used,13722.0,Keating Honda,63148.0,3,4574.0,0
Chevrolet,Camaro,2018,Used,15486.0,Keating Honda,58997.0,7,2212.285714285714,0
Ford,F-150,2017,Used,40271.0,Keating Honda,39395.0,8,5033.875,0
Lincoln,Navigator,2015,Used,107115.0,Keating Honda,19997.0,10,10711.5,0
